quality_event_id,event_no,event_source,event_type,event_title,event_desc,event_time,severity_level,event_status,trigger_source_no,created_at,updated_at
1,QE-CF-2026-0001,QMS,SELF_MADE,Piston Rod Assembly - Chrome Plating Scratch on Piston Rod Event,"Chrome Plating Scratch on Piston Rod was found on Piston Rod Assembly during Extension and Retraction Pressure inspection, and the issue has entered the quality event closure process.",2026-05-09 08:07:00,MINOR,NORMAL,FB-CF-0001,2026-05-09 08:07:00,2026-05-09 08:07:00
2,QE-CF-2026-0002,QMS,SELF_MADE,Cylinder Barrel Assembly - Seal Ring Compression Damage Event,"Seal Ring Compression Damage was found on Cylinder Barrel Assembly during Pressure Holding Leakage Rate inspection, and the issue has entered the quality event closure process.",2026-05-10 08:14:00,MAJOR,WARNING,FB-CF-0002,2026-05-10 08:14:00,2026-05-10 08:14:00
3,QE-CF-2026-0003,QMS,PURCHASED,Front End Cap - Scratch on Cylinder Barrel Inner Wall Event,"Scratch on Cylinder Barrel Inner Wall was found on Front End Cap during Piston Rod Extension Stroke inspection, and the issue has entered the quality event closure process.",2026-05-11 08:21:00,CRITICAL,QUALIFIED,FB-CF-0003,2026-05-11 08:21:00,2026-05-11 08:21:00
4,QE-CF-2026-0004,QMS,PURCHASED,Rear End Cap - Pressure Holding Leakage Rate Out of Tolerance Event,"Pressure Holding Leakage Rate Out of Tolerance was found on Rear End Cap during Actuation Time inspection, and the issue has entered the quality event closure process.",2026-05-12 08:28:00,WARNING,CLOSED,FB-CF-0004,2026-05-12 08:28:00,2026-05-12 08:28:00
5,QE-CF-2026-0005,QMS,ASSEMBLY,Seal Ring Assembly - Actuation Hysteresis Event,"Actuation Hysteresis was found on Seal Ring Assembly during Hydraulic Oil Temperature inspection, and the issue has entered the quality event closure process.",2026-05-13 08:35:00,MINOR,NORMAL,FB-CF-0005,2026-05-13 08:35:00,2026-05-13 08:35:00
6,QE-CF-2026-0006,QMS,ASSEMBLY,Trunnion Bushing - Minor Leakage at Hydraulic Fitting Event,"Minor Leakage at Hydraulic Fitting was found on Trunnion Bushing during Locking Clearance inspection, and the issue has entered the quality event closure process.",2026-05-14 08:42:00,MAJOR,WARNING,FB-CF-0006,2026-05-14 08:42:00,2026-05-14 08:42:00
7,QE-CF-2026-0007,QMS,PARAMETER,Spherical Bearing - Excessive Trunnion Bushing Clearance Event,"Excessive Trunnion Bushing Clearance was found on Spherical Bearing during Extension and Retraction Pressure inspection, and the issue has entered the quality event closure process.",2026-05-15 08:49:00,CRITICAL,QUALIFIED,FB-CF-0007,2026-05-15 08:49:00,2026-05-15 08:49:00
8,QE-CF-2026-0008,QMS,PARAMETER,Throttle Connector - Loose Displacement Sensor Bracket Event,"Loose Displacement Sensor Bracket was found on Throttle Connector during Pressure Holding Leakage Rate inspection, and the issue has entered the quality event closure process.",2026-05-16 08:56:00,WARNING,CLOSED,FB-CF-0008,2026-05-16 08:56:00,2026-05-16 08:56:00
9,QE-CF-2026-0009,MRO,MRO,Displacement Sensor Bracket - Chrome Plating Scratch on Piston Rod Event,"Chrome Plating Scratch on Piston Rod was found on Displacement Sensor Bracket during Piston Rod Extension Stroke inspection, and the issue has entered the quality event closure process.",2026-05-17 09:03:00,MINOR,NORMAL,FB-CF-0009,2026-05-17 09:03:00,2026-05-17 09:03:00
10,QE-CF-2026-0010,MRO,MRO,Locking Nut - Seal Ring Compression Damage Event,"Seal Ring Compression Damage was found on Locking Nut during Actuation Time inspection, and the issue has entered the quality event closure process.",2026-05-18 09:10:00,MAJOR,WARNING,FB-CF-0010,2026-05-18 09:10:00,2026-05-18 09:10:00
